"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"North Carolina"	"37"	542	8049313	6.7
	"2000"	"2000"	"North Dakota"	"38"	17	642200	Unreliable
	"2000"	"2000"	"Ohio"	"39"	651	11353140	5.7
	"2000"	"2000"	"Oklahoma"	"40"	273	3450654	7.9
	"2000"	"2000"	"Oregon"	"41"	304	3421399	8.9
	"2000"	"2000"	"Pennsylvania"	"42"	1231	12281054	10.0
	"2000"	"2000"	"Rhode Island"	"44"	88	1048319	8.4
	"2000"	"2000"	"South Carolina"	"45"	287	4012012	7.2
	"2000"	"2000"	"South Dakota"	"46"	21	754844	2.8
	"2000"	"2000"	"Tennessee"	"47"	440	5689283	7.7
	"2000"	"2000"	"Texas"	"48"	1305	20851820	6.3
	"2000"	"2000"	"Utah"	"49"	223	2233169	10.0
	"2000"	"2000"	"Vermont"	"50"	39	608827	6.4
	"2000"	"2000"	"Virginia"	"51"	447	7078515	6.3
	"2000"	"2000"	"Washington"	"53"	624	5894121	10.6
	"2000"	"2000"	"West Virginia"	"54"	138	1808344	7.6
	"2000"	"2000"	"Wisconsin"	"55"	272	5363675	5.1
	"2000"	"2000"	"Wyoming"	"56"	22	493782	4.5
"Total"	"2000"	"2000"			20011	281421906	7.1
	"2001"	"2001"	"Alabama"	"01"	260	4467634	5.8
	"2001"	"2001"	"Alaska"	"02"	68	633714	10.7
	"2001"	"2001"	"Arizona"	"04"	602	5273477	11.4
	"2001"	"2001"	"Arkansas"	"05"	142	2691571	5.3
	"2001"	"2001"	"California"	"06"	1530	34479458	4.4
	"2001"	"2001"	"Colorado"	"08"	463	4425687	10.5
	"2001"	"2001"	"Connecticut"	"09"	340	3432835	9.9
	"2001"	"2001"	"Delaware"	"10"	76	795699	9.6
	"2001"	"2001"	"District of Columbia"	"11"	101	574504	17.6
	"2001"	"2001"	"Florida"	"12"	1896	16356966	11.6
	"2001"	"2001"	"Georgia"	"13"	578	8377038	6.9
	"2001"	"2001"	"Hawaii"	"15"	82	1225948	6.7
	"2001"	"2001"	"Idaho"	"16"	104	1319962	7.9
	"2001"	"2001"	"Illinois"	"17"	1082	12488445	8.7
	"2001"	"2001"	"Indiana"	"18"	315	6127760	5.1
	"2001"	"2001"	"Iowa"	"19"	101	2931997	3.4
	"2001"	"2001"	"Kansas"	"20"	150	2702162	5.6
	"2001"	"2001"	"Kentucky"	"21"	366	4068132	9.0
	"2001"	"2001"	"Louisiana"	"22"	292	4477875	6.5
	"2001"	"2001"	"Maine"	"23"	96	1285692	7.5
	"2001"	"2001"	"Maryland"	"24"	674	5374691	12.5
	"2001"	"2001"	"Massachusetts"	"25"	731	6397634	11.4
	"2001"	"2001"	"Michigan"	"26"	762	9991120	7.6
	"2001"	"2001"	"Minnesota"	"27"	221	4982796	4.4
	"2001"	"2001"	"Mississippi"	"28"	182	2852994	6.4
	"2001"	"2001"	"Missouri"	"29"	407	5641142	7.2
	"2001"	"2001"	"Montana"	"30"	64	906961	7.1
	"2001"	"2001"	"Nebraska"	"31"	69	1719836	4.0
	"2001"	"2001"	"Nevada"	"32"	316	2098399	15.1
	"2001"	"2001"	"New Hampshire"	"33"	82	1255517	6.5
	"2001"	"2001"	"New Jersey"	"34"	773	8492671	9.1
	"2001"	"2001"	"New Mexico"	"35"	281	1831690	15.3
	"2001"	"2001"	"New York"	"36"	1213	19082838	6.4
	"2001"	"2001"	"North Carolina"	"37"	589	8210122	7.2
	"2001"	"2001"	"North Dakota"	"38"	19	639062	Unreliable
	"2001"	"2001"	"Ohio"	"39"	857	11387404	7.5
	"2001"	"2001"	"Oklahoma"	"40"	307	3467100	8.9
	"2001"	"2001"	"Oregon"	"41"	311	3467937	9.0
	"2001"	"2001"	"Pennsylvania"	"42"	1029	12298970	8.4
	"2001"	"2001"	"Rhode Island"	"44"	127	1057142	12.0
	"2001"	"2001"	"South Carolina"	"45"	272	4064995	6.7
	"2001"	"2001"	"South Dakota"	"46"	29	757972	3.8
	"2001"	"2001"	"Tennessee"	"47"	479	5750789	8.3
	"2001"	"2001"	"Texas"	"48"	1573	21319622	7.4
	"2001"	"2001"	"Utah"	"49"	228	2283715	10.0
	"2001"	"2001"	"Vermont"	"50"	60	612223	9.8
	"2001"	"2001"	"Virginia"	"51"	514	7198362	7.1
	"2001"	"2001"	"Washington"	"53"	544	5985722	9.1
	"2001"	"2001"	"West Virginia"	"54"	230	1801481	12.8
	"2001"	"2001"	"Wisconsin"	"55"	302	5406835	5.6
	"2001"	"2001"	"Wyoming"	"56"	25	494657	5.1
"Total"	"2001"	"2001"			21914	284968955	7.7
	"2002"	"2002"	"Alabama"	"01"	244	4480089	5.4
	"2002"	"2002"	"Alaska"	"02"	89	642337	13.9
	"2002"	"2002"	"Arizona"	"04"	684	5396255	12.7
	"2002"	"2002"	"Arkansas"	"05"	201	2705927	7.4
	"2002"	"2002"	"California"	"06"	3649	34871843	10.5
	"2002"	"2002"	"Colorado"	"08"	502	4490406	11.2
	"2002"	"2002"	"Connecticut"	"09"	365	3458749	10.6
	"2002"	"2002"	"Delaware"	"10"	96	806169	11.9
	"2002"	"2002"	"District of Columbia"	"11"	64	573158	11.2
	"2002"	"2002"	"Florida"	"12"	2084	16689370	12.5
	"2002"	"2002"	"Georgia"	"13"	625	8508256	7.3
	"2002"	"2002"	"Hawaii"	"15"	85	1239613	6.9
	"2002"	"2002"	"Idaho"	"16"	124	1340372	9.3
	"2002"	"2002"	"Illinois"	"17"	1159	12525556	9.3
	"2002"	"2002"	"Indiana"	"18"	333	6155967	5.4
	"2002"	"2002"	"Iowa"	"19"	114	2934234	3.9
	"2002"	"2002"	"Kansas"	"20"	187	2713535	6.9
	"2002"	"2002"	"Kentucky"	"21"	468	4089875	11.4
	"2002"	"2002"	"Louisiana"	"22"	410	4497267	9.1
	"2002"	"2002"	"Maine"	"23"	156	1295960	12.0
	"2002"	"2002"	"Maryland"	"24"	758	5440389	13.9
	"2002"	"2002"	"Massachusetts"	"25"	726	6417206	11.3
	"2002"	"2002"	"Michigan"	"26"	894	10015710	8.9
	"2002"	"2002"	"Minnesota"	"27"	237	5018935	4.7
	"2002"	"2002"	"Mississippi"	"28"	198	2858681	6.9
	"2002"	"2002"	"Missouri"	"29"	481	5674825	8.5
	"2002"	"2002"	"Montana"	"30"	79	911667	8.7
	"2002"	"2002"	"Nebraska"	"31"	74	1728292	4.3
	"2002"	"2002"	"Nevada"	"32"	422	2173791	19.4
	"2002"	"2002"	"New Hampshire"	"33"	120	1269089	9.5
	"2002"	"2002"	"New Jersey"	"34"	863	8552643	10.1
	"2002"	"2002"	"New Mexico"	"35"	318	1855309	17.1
	"2002"	"2002"	"New York"	"36"	1004	19137800	5.2
	"2002"	"2002"	"North Carolina"	"37"	693	8326201	8.3
	"2002"	"2002"	"North Dakota"	"38"	20	638168	3.1
	"2002"	"2002"	"Ohio"	"39"	1076	11407889	9.4
